dt_index,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.profile_banner_url,fetched_at
2020-11-11 07:51:02+00:00,1326432231464775681,1326432231464775681,$CUK short interest ratio is 1.74 on 2019-05-31 https://t.co/us6IOsKcT7 $RCL 1.77 $CCL 3.88 $NCLH 2.74,False,"[0, 102]","<a href=""http://sunshineavenue.com"" rel=""nofollow"">Sunshineavenue</a>",,,,,,,,,,False,0,0,False,False,False,in,[],"[{'text': 'CUK', 'indices': [0, 4]}, {'text': 'RCL', 'indices': [72, 76]}, {'text': 'CCL', 'indices': [82, 86]}, {'text': 'NCLH', 'indices': [92, 97]}]",[],"[{'url': 'https://t.co/us6IOsKcT7', 'expanded_url': 'http://sunshineavenue.com/stock/CUK/', 'display_url': 'sunshineavenue.com/stock/CUK/', 'indices': [48, 71]}]",in,recent,938804552203165697,938804552203165697,sun,sunshineavenue8,,,https://t.co/kJCcSrzj5V,"[{'url': 'https://t.co/kJCcSrzj5V', 'expanded_url': 'http://sunshineavenue.com/', 'display_url': 'sunshineavenue.com', 'indices': [0, 23]}]",[],False,222,1,4,Thu Dec 07 16:17:02 +0000 2017,0,,,False,False,100418,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/943632977971486720/a5Af28IF_normal.jpg,https://pbs.twimg.com/profile_images/943632977971486720/a5Af28IF_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,2020-11-11 08:00:12.491087+00:00
2020-11-11 06:24:47+00:00,1326410524582682627,1326410524582682627,$stor $play $mgm $cake $spg $nclh $rcl $plnt $inmd $xom $vlo that about wraps it up #undefeated for picking #recovery #stocks that were crushed. #macroeconomics and #geopolitics #stocktrading #experience.,False,"[0, 204]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.3264065533317693e+18,1326406553331769344,706780663.0,706780663,MKT_Gunslinger,,,,,False,0,1,False,False,,en,"[{'text': 'undefeated', 'indices': [84, 95]}, {'text': 'recovery', 'indices': [108, 117]}, {'text': 'stocks', 'indices': [118, 125]}, {'text': 'macroeconomics', 'indices': [145, 160]}, {'text': 'geopolitics', 'indices': [165, 177]}, {'text': 'stocktrading', 'indices': [178, 191]}, {'text': 'experience', 'indices': [192, 203]}]","[{'text': 'stor', 'indices': [0, 5]}, {'text': 'play', 'indices': [6, 11]}, {'text': 'mgm', 'indices': [12, 16]}, {'text': 'cake', 'indices': [17, 22]}, {'text': 'spg', 'indices': [23, 27]}, {'text': 'nclh', 'indices': [28, 33]}, {'text': 'rcl', 'indices': [34, 38]}, {'text': 'plnt', 'indices': [39, 44]}, {'text': 'inmd', 'indices': [45, 50]}, {'text': 'xom', 'indices': [51, 55]}, {'text': 'vlo', 'indices': [56, 60]}]",[],[],en,recent,706780663,706780663,mark,MKT_Gunslinger,Turning$323k Inhrtd IRA to1mm+,"33 y/o FT Investor. 3-20-19 start with 12 yrs trading experience,6yrsCollege&StudiedBizSinceAkid. All trades posted live, most accurate on twitter. (ShowMeThe@)",https://t.co/2m1CaMFE0j,"[{'url': 'https://t.co/2m1CaMFE0j', 'expanded_url': 'http://censoredbyjack.com', 'display_url': 'censoredbyjack.com', 'indices': [0, 23]}]",[],False,349,1175,6,Fri Jul 20 08:50:32 +0000 2012,488,,,False,False,2319,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1195554958290108416/fVMF2PLl_normal.jpg,https://pbs.twimg.com/profile_images/1195554958290108416/fVMF2PLl_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/706780663/1581477925,2020-11-11 08:00:12.491087+00:00
