dt_index,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,entities.media,extended_entities.media,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.profile_banner_url,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.entities.media,retweeted_status.extended_entities.media,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.possibly_sensitive,retweeted_status.lang,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.entities.hashtags,quoted_status.entities.symbols,quoted_status.entities.user_mentions,quoted_status.entities.urls,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.lang,fetched_at
2020-11-25 17:13:15+00:00,1331647146014208007,1331647146014208007,"$AMC SQUEEZING, Movie theaters opening back up!!🚀🚀🚀

45% of float is short! 60 mil shares need to cover

$SPY $VXX $NIO $COCP $TSLA $AAPL $PPSI $MARA $ENG $FCEL $PLUG $TSNP $TLRY $ENZC $X $NKLA $SNDL $FSR $NAKD $WEI $ANPC $SPI $MTC $DSGT $ACB $OPTT $ALYI $IDEX $FTEK $YJ $ZOM https://t.co/L9V121Qvby",False,"[0, 275]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,[],"[{'text': 'AMC', 'indices': [0, 4]}, {'text': 'SPY', 'indices': [105, 109]}, {'text': 'VXX', 'indices': [110, 114]}, {'text': 'NIO', 'indices': [115, 119]}, {'text': 'COCP', 'indices': [120, 125]}, {'text': 'TSLA', 'indices': [126, 131]}, {'text': 'AAPL', 'indices': [132, 137]}, {'text': 'PPSI', 'indices': [138, 143]}, {'text': 'MARA', 'indices': [144, 149]}, {'text': 'ENG', 'indices': [150, 154]}, {'text': 'FCEL', 'indices': [155, 160]}, {'text': 'PLUG', 'indices': [161, 166]}, {'text': 'TSNP', 'indices': [167, 172]}, {'text': 'TLRY', 'indices': [173, 178]}, {'text': 'ENZC', 'indices': [179, 184]}, {'text': 'X', 'indices': [185, 187]}, {'text': 'NKLA', 'indices': [188, 193]}, {'text': 'SNDL', 'indices': [194, 199]}, {'text': 'FSR', 'indices': [200, 204]}, {'text': 'NAKD', 'indices': [205, 210]}, {'text': 'WEI', 'indices': [211, 215]}, {'text': 'ANPC', 'indices': [216, 221]}, {'text': 'SPI', 'indices': [222, 226]}, {'text': 'MTC', 'indices': [227, 231]}, {'text': 'DSGT', 'indices': [232, 237]}, {'text': 'ACB', 'indices': [238, 242]}, {'text': 'OPTT', 'indices': [243, 248]}, {'text': 'ALYI', 'indices': [249, 254]}, {'text': 'IDEX', 'indices': [255, 260]}, {'text': 'FTEK', 'indices': [261, 266]}, {'text': 'YJ', 'indices': [267, 270]}, {'text': 'ZOM', 'indices': [271, 275]}]",[],[],"[{'id': 1331647139882147842, 'id_str': '1331647139882147842', 'indices': [276, 299], 'media_url': 'http://pbs.twimg.com/media/Enr2BLLXIAIQcVI.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Enr2BLLXIAIQcVI.jpg', 'url': 'https://t.co/L9V121Qvby', 'display_url': 'pic.twitter.com/L9V121Qvby', 'expanded_url': 'https://twitter.com/Stockpro1221/status/1331647146014208007/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 554, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 314, 'h': 680, 'resize': 'fit'}, 'large': {'w': 946, 'h': 2048, 'resize': 'fit'}}}]","[{'id': 1331647139882147842, 'id_str': '1331647139882147842', 'indices': [276, 299], 'media_url': 'http://pbs.twimg.com/media/Enr2BLLXIAIQcVI.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Enr2BLLXIAIQcVI.jpg', 'url': 'https://t.co/L9V121Qvby', 'display_url': 'pic.twitter.com/L9V121Qvby', 'expanded_url': 'https://twitter.com/Stockpro1221/status/1331647146014208007/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 554, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 314, 'h': 680, 'resize': 'fit'}, 'large': {'w': 946, 'h': 2048, 'resize': 'fit'}}}, {'id': 1331647139886362627, 'id_str': '1331647139886362627', 'indices': [276, 299], 'media_url': 'http://pbs.twimg.com/media/Enr2BLMXcAMWQUA.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Enr2BLMXcAMWQUA.jpg', 'url': 'https://t.co/L9V121Qvby', 'display_url': 'pic.twitter.com/L9V121Qvby', 'expanded_url': 'https://twitter.com/Stockpro1221/status/1331647146014208007/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 298, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 526, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 898, 'resize': 'fit'}}}]",en,recent,819236857221414925,819236857221414925,JP1221,Stockpro1221,NYC,"Stock Analyst/ Finance Guru
Louisville/Syracuse Alum 🏀🏈


-My opinions are my own and invest in stocks based off the DD that I perform.",,[],False,1475,725,21,Wed Jan 11 17:37:42 +0000 2017,1332,,,False,False,7981,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/841802381763399680/PsEGqWwG_normal.jpg,https://pbs.twimg.com/profile_images/841802381763399680/PsEGqWwG_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-11-25 17:18:09.702919+00:00
2020-11-25 17:06:14+00:00,1331645381784924161,1331645381784924161,"RT @kwid_mohito: Sold $cbbt at .020 re-entry  $dgtw !!!

$dgti $nakd $enzc $cbbt $alyi $tsnp $couv $tsla $nio $nakd $vsym $couv https://t.c…",False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,1,0,False,False,,tl,[],"[{'text': 'cbbt', 'indices': [22, 27]}, {'text': 'dgtw', 'indices': [46, 51]}, {'text': 'dgti', 'indices': [57, 62]}, {'text': 'nakd', 'indices': [63, 68]}, {'text': 'enzc', 'indices': [69, 74]}, {'text': 'cbbt', 'indices': [75, 80]}, {'text': 'alyi', 'indices': [81, 86]}, {'text': 'tsnp', 'indices': [87, 92]}, {'text': 'couv', 'indices': [93, 98]}, {'text': 'tsla', 'indices': [99, 104]}, {'text': 'nio', 'indices': [105, 109]}, {'text': 'nakd', 'indices': [110, 115]}, {'text': 'vsym', 'indices': [116, 121]}, {'text': 'couv', 'indices': [122, 127]}]","[{'screen_name': 'kwid_mohito', 'name': 'Kwid Mojo', 'id': 983888248387788800, 'id_str': '983888248387788800', 'indices': [3, 15]}]",[],,,tl,recent,983888248387788800,983888248387788800,Kwid Mojo,kwid_mohito,😉😎   ,,,[],False,380,172,3,Wed Apr 11 02:03:33 +0000 2018,6624,,,False,False,1927,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1315019047918993408/YO2xD059_normal.jpg,https://pbs.twimg.com/profile_images/1315019047918993408/YO2xD059_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/983888248387788800/1605744433,Wed Nov 25 15:21:24 +0000 2020,1.3316189978260316e+18,1.3316189978260316e+18,"Sold $cbbt at .020 re-entry  $dgtw !!!

$dgti $nakd $enzc $cbbt $alyi $tsnp $couv $tsla $nio $nakd $vsym $couv https://t.co/PnHEyq09VY",False,"[0, 110]",[],"[{'text': 'cbbt', 'indices': [5, 10]}, {'text': 'dgtw', 'indices': [29, 34]}, {'text': 'dgti', 'indices': [40, 45]}, {'text': 'nakd', 'indices': [46, 51]}, {'text': 'enzc', 'indices': [52, 57]}, {'text': 'cbbt', 'indices': [58, 63]}, {'text': 'alyi', 'indices': [64, 69]}, {'text': 'tsnp', 'indices': [70, 75]}, {'text': 'couv', 'indices': [76, 81]}, {'text': 'tsla', 'indices': [82, 87]}, {'text': 'nio', 'indices': [88, 92]}, {'text': 'nakd', 'indices': [93, 98]}, {'text': 'vsym', 'indices': [99, 104]}, {'text': 'couv', 'indices': [105, 110]}]",[],[],"[{'id': 1331618991823937543, 'id_str': '1331618991823937543', 'indices': [111, 134], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EnrcavfUYAcZ8CL.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EnrcavfUYAcZ8CL.jpg', 'url': 'https://t.co/PnHEyq09VY', 'display_url': 'pic.twitter.com/PnHEyq09VY', 'expanded_url': 'https://twitter.com/kwid_mohito/status/1331618997826031617/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 500, 'h': 252, 'resize': 'fit'}, 'small': {'w': 500, 'h': 252, 'resize': 'fit'}, 'medium': {'w': 500, 'h': 252, 'resize': 'fit'}}}]","[{'id': 1331618991823937543, 'id_str': '1331618991823937543', 'indices': [111, 134], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EnrcavfUYAcZ8CL.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EnrcavfUYAcZ8CL.jpg', 'url': 'https://t.co/PnHEyq09VY', 'display_url': 'pic.twitter.com/PnHEyq09VY', 'expanded_url': 'https://twitter.com/kwid_mohito/status/1331618997826031617/photo/1', 'type': 'animated_gif', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 500, 'h': 252, 'resize': 'fit'}, 'small': {'w': 500, 'h': 252, 'resize': 'fit'}, 'medium': {'w': 500, 'h': 252, 'resize': 'fit'}}, 'video_info': {'aspect_ratio': [125, 63], 'variants': [{'bitrate': 0, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/tweet_video/EnrcavfUYAcZ8CL.mp4'}]}}]",tl,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,9.838882483877888e+17,9.838882483877888e+17,Kwid Mojo,kwid_mohito,😉😎   ,,,[],False,380.0,172.0,3.0,Wed Apr 11 02:03:33 +0000 2018,6624.0,,,False,False,1927.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1315019047918993408/YO2xD059_normal.jpg,https://pbs.twimg.com/profile_images/1315019047918993408/YO2xD059_normal.jpg,https://pbs.twimg.com/profile_banners/983888248387788800/1605744433,1DA1F2,C0DEED,DDEEF6,333333.0,True,False,True,False,False,False,False,none,,,,,False,1.0,3.0,False,False,False,tl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-11-25 17:18:09.702919+00:00
2020-11-25 17:05:58+00:00,1331645315514994689,1331645315514994689,$tgrr $igen $tptw $opti $gmpw $vism $leas $paso $enzc $gaxy $tsnp $aept $spom $arsn $vmnt $etfm $aabb $brtx $bsrc $ewll  $vsym $dksc $twoh $tsnp $enzc $alyi $ttcm  $qutr $nspx $CBBT  $DGTW $VISM $gaxy $lfer $INNO $ATVK $INQD $DSGT $segi $tsnp https://t.co/gi3fUWlTzm,False,"[0, 242]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,True,0,2,False,False,False,in,[],"[{'text': 'tgrr', 'indices': [0, 5]}, {'text': 'igen', 'indices': [6, 11]}, {'text': 'tptw', 'indices': [12, 17]}, {'text': 'opti', 'indices': [18, 23]}, {'text': 'gmpw', 'indices': [24, 29]}, {'text': 'vism', 'indices': [30, 35]}, {'text': 'leas', 'indices': [36, 41]}, {'text': 'paso', 'indices': [42, 47]}, {'text': 'enzc', 'indices': [48, 53]}, {'text': 'gaxy', 'indices': [54, 59]}, {'text': 'tsnp', 'indices': [60, 65]}, {'text': 'aept', 'indices': [66, 71]}, {'text': 'spom', 'indices': [72, 77]}, {'text': 'arsn', 'indices': [78, 83]}, {'text': 'vmnt', 'indices': [84, 89]}, {'text': 'etfm', 'indices': [90, 95]}, {'text': 'aabb', 'indices': [96, 101]}, {'text': 'brtx', 'indices': [102, 107]}, {'text': 'bsrc', 'indices': [108, 113]}, {'text': 'ewll', 'indices': [114, 119]}, {'text': 'vsym', 'indices': [121, 126]}, {'text': 'dksc', 'indices': [127, 132]}, {'text': 'twoh', 'indices': [133, 138]}, {'text': 'tsnp', 'indices': [139, 144]}, {'text': 'enzc', 'indices': [145, 150]}, {'text': 'alyi', 'indices': [151, 156]}, {'text': 'ttcm', 'indices': [157, 162]}, {'text': 'qutr', 'indices': [164, 169]}, {'text': 'nspx', 'indices': [170, 175]}, {'text': 'CBBT', 'indices': [176, 181]}, {'text': 'DGTW', 'indices': [183, 188]}, {'text': 'VISM', 'indices': [189, 194]}, {'text': 'gaxy', 'indices': [195, 200]}, {'text': 'lfer', 'indices': [201, 206]}, {'text': 'INNO', 'indices': [207, 212]}, {'text': 'ATVK', 'indices': [213, 218]}, {'text': 'INQD', 'indices': [219, 224]}, {'text': 'DSGT', 'indices': [225, 230]}, {'text': 'segi', 'indices': [231, 236]}, {'text': 'tsnp', 'indices': [237, 242]}]",[],"[{'url': 'https://t.co/gi3fUWlTzm', 'expanded_url': 'https://twitter.com/sycamorefilms/status/1331640240465797122', 'display_url': 'twitter.com/sycamorefilms/…', 'indices': [243, 266]}]",,,in,recent,1299912763041443840,1299912763041443840,rj,rj34704726,,"Scared money, Doesn't make money! #🤑🤑🤑🤑🤑",,[],False,33,85,0,Sun Aug 30 03:32:21 +0000 2020,483,,,False,False,281,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319887964554493952/AoyQ5gAD_normal.jpg,https://pbs.twimg.com/profile_images/1319887964554493952/AoyQ5gAD_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/1299912763041443840/1603520810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.331640240465797e+18,1.331640240465797e+18,Wed Nov 25 16:45:48 +0000 2020,1.331640240465797e+18,1.331640240465797e+18,In response to inquiries regarding the notes on the $SEGI books. Those belong to very close associates and will be converted in restricted preferred equity in lieu of the debt. This allows us to maintain our no dilution policy. It also significantly reduces our debt on books.,False,"[0, 276]",[],"[{'text': 'SEGI', 'indices': [52, 57]}]",[],[],in,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,260456379.0,260456379.0,Sycamore Entertainment,sycamorefilms,"LA, California","Film Distribution & Marketing Co. Your Official Source for Updates, News, and Announcements. Symbol $SEGI @OTCmarkets.  News and Updates also @edwardsylvan",https://t.co/n2rHmxZC4j,"[{'url': 'https://t.co/n2rHmxZC4j', 'expanded_url': 'http://segi.tv', 'display_url': 'segi.tv', 'indices': [0, 23]}]",[],False,1955.0,1427.0,29.0,Thu Mar 03 22:42:08 +0000 2011,145.0,,,True,False,2149.0,,False,False,False,22330.0,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1330838613681082372/kODVeGqp_normal.jpg,https://pbs.twimg.com/profile_images/1330838613681082372/kODVeGqp_normal.jpg,https://pbs.twimg.com/profile_banners/260456379/1606131626,0084B4,A8C7F7,C0DFEC,333333.0,True,False,False,False,False,False,False,none,,,,,False,14.0,73.0,False,False,en,2020-11-25 17:18:09.702919+00:00
2020-11-25 17:04:48+00:00,1331645022853160961,1331645022853160961,🟢 Shares of $VBIV climbing. Institutional &amp; hedge funds are buying big ahead of key FDA catalysts. $TPTW $PASO $ALYI $SPOM $ZHUD $ITOX $TMXN $RGGI $GLFW $DLOC $WKHS $CTRM $SHIP $TOPS $GNUS $MARK $VISL $IDEX $CVM $ARYO $SOLO $NE $USO $RIG $OIL $PIXY https://t.co/BAPnNiURDZ,False,"[0, 252]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,False,en,[],"[{'text': 'VBIV', 'indices': [12, 17]}, {'text': 'TPTW', 'indices': [103, 108]}, {'text': 'PASO', 'indices': [109, 114]}, {'text': 'ALYI', 'indices': [115, 120]}, {'text': 'SPOM', 'indices': [121, 126]}, {'text': 'ZHUD', 'indices': [127, 132]}, {'text': 'ITOX', 'indices': [133, 138]}, {'text': 'TMXN', 'indices': [139, 144]}, {'text': 'RGGI', 'indices': [145, 150]}, {'text': 'GLFW', 'indices': [151, 156]}, {'text': 'DLOC', 'indices': [157, 162]}, {'text': 'WKHS', 'indices': [163, 168]}, {'text': 'CTRM', 'indices': [169, 174]}, {'text': 'SHIP', 'indices': [175, 180]}, {'text': 'TOPS', 'indices': [181, 186]}, {'text': 'GNUS', 'indices': [187, 192]}, {'text': 'MARK', 'indices': [193, 198]}, {'text': 'VISL', 'indices': [199, 204]}, {'text': 'IDEX', 'indices': [205, 210]}, {'text': 'CVM', 'indices': [211, 215]}, {'text': 'ARYO', 'indices': [216, 221]}, {'text': 'SOLO', 'indices': [222, 227]}, {'text': 'NE', 'indices': [228, 231]}, {'text': 'USO', 'indices': [232, 236]}, {'text': 'RIG', 'indices': [237, 241]}, {'text': 'OIL', 'indices': [242, 246]}, {'text': 'PIXY', 'indices': [247, 252]}]",[],[],"[{'id': 1331645020525367296, 'id_str': '1331645020525367296', 'indices': [253, 276], 'media_url': 'http://pbs.twimg.com/media/Enr0Fz9VEAABsuQ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Enr0Fz9VEAABsuQ.jpg', 'url': 'https://t.co/BAPnNiURDZ', 'display_url': 'pic.twitter.com/BAPnNiURDZ', 'expanded_url': 'https://twitter.com/A1Alerts/status/1331645022853160961/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 674, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 750, 'h': 743, 'resize': 'fit'}, 'large': {'w': 750, 'h': 743, 'resize': 'fit'}}}]","[{'id': 1331645020525367296, 'id_str': '1331645020525367296', 'indices': [253, 276], 'media_url': 'http://pbs.twimg.com/media/Enr0Fz9VEAABsuQ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Enr0Fz9VEAABsuQ.jpg', 'url': 'https://t.co/BAPnNiURDZ', 'display_url': 'pic.twitter.com/BAPnNiURDZ', 'expanded_url': 'https://twitter.com/A1Alerts/status/1331645022853160961/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 674, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 750, 'h': 743, 'resize': 'fit'}, 'large': {'w': 750, 'h': 743, 'resize': 'fit'}}}]",en,recent,1241334383597871104,1241334383597871104,Actionable Alerts,A1Alerts,Do your own Due Dilegance,"For the best guidance about the stock market, engage licensed pros. My tweets are informative/advertorials and should not be the sole basis for any investment.",,[],False,285,672,1,Sat Mar 21 12:02:49 +0000 2020,19,,,False,False,102,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1241334634547306496/Vo0YCuTg_normal.jpg,https://pbs.twimg.com/profile_images/1241334634547306496/Vo0YCuTg_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-11-25 17:18:09.702919+00:00
