dt_index,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,possibly_sensitive,user.entities.url.urls,user.profile_banner_url,fetched_at
2020-11-11 07:58:35+00:00,1326434131828420608,1326434131828420608,"$GTEC $GTEC looks like a new and very strong profitable EV company.20$ possible this week

$FSR $SPAQ $HYLN $SHLL $TSLA $NKLA $GP $DPHC $RIDE $WKHS $SOLO $AYRO $FUV $HCAC $NIO $XPEV $LI $NETE $KCAC $RMG $PIC $IDEX $SNPR $DAN $OSK $POLA $KNDI $BEEM $BLNK $FCEL $PLUG $BLDP $AAPL",False,"[0, 277]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,en,[],"[{'text': 'GTEC', 'indices': [0, 5]}, {'text': 'GTEC', 'indices': [6, 11]}, {'text': 'FSR', 'indices': [91, 95]}, {'text': 'SPAQ', 'indices': [96, 101]}, {'text': 'HYLN', 'indices': [102, 107]}, {'text': 'SHLL', 'indices': [108, 113]}, {'text': 'TSLA', 'indices': [114, 119]}, {'text': 'NKLA', 'indices': [120, 125]}, {'text': 'GP', 'indices': [126, 129]}, {'text': 'DPHC', 'indices': [130, 135]}, {'text': 'RIDE', 'indices': [136, 141]}, {'text': 'WKHS', 'indices': [142, 147]}, {'text': 'SOLO', 'indices': [148, 153]}, {'text': 'AYRO', 'indices': [154, 159]}, {'text': 'FUV', 'indices': [160, 164]}, {'text': 'HCAC', 'indices': [165, 170]}, {'text': 'NIO', 'indices': [171, 175]}, {'text': 'XPEV', 'indices': [176, 181]}, {'text': 'LI', 'indices': [182, 185]}, {'text': 'NETE', 'indices': [186, 191]}, {'text': 'KCAC', 'indices': [192, 197]}, {'text': 'RMG', 'indices': [198, 202]}, {'text': 'PIC', 'indices': [203, 207]}, {'text': 'IDEX', 'indices': [208, 213]}, {'text': 'SNPR', 'indices': [214, 219]}, {'text': 'DAN', 'indices': [220, 224]}, {'text': 'OSK', 'indices': [225, 229]}, {'text': 'POLA', 'indices': [230, 235]}, {'text': 'KNDI', 'indices': [236, 241]}, {'text': 'BEEM', 'indices': [242, 247]}, {'text': 'BLNK', 'indices': [248, 253]}, {'text': 'FCEL', 'indices': [254, 259]}, {'text': 'PLUG', 'indices': [260, 265]}, {'text': 'BLDP', 'indices': [266, 271]}, {'text': 'AAPL', 'indices': [272, 277]}]",[],[],en,recent,1567638157,1567638157,aqibabbasi,aqibge,,,,[],False,13,53,0,Thu Jul 04 07:47:04 +0000 2013,1023,,,False,False,1106,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,True,False,False,False,none,,,,2020-11-11 08:00:03.272553+00:00
2020-11-11 07:36:01+00:00,1326428454041088002,1326428454041088002,2020-11-10 Short sale volume (not short interest) for $ARCC is 63%. https://t.co/gP0wsOjheO $VTV 77% $AYRO 51% $NVAX 52% $PENN 40%,False,"[0, 130]","<a href=""http://shortvolumes.com"" rel=""nofollow"">Short Volumes</a>",,,,,,,,,,False,0,0,False,False,en,[],"[{'text': 'ARCC', 'indices': [54, 59]}, {'text': 'VTV', 'indices': [92, 96]}, {'text': 'AYRO', 'indices': [101, 106]}, {'text': 'NVAX', 'indices': [111, 116]}, {'text': 'PENN', 'indices': [121, 126]}]",[],"[{'url': 'https://t.co/gP0wsOjheO', 'expanded_url': 'http://shortvolumes.com/?t=ARCC', 'display_url': 'shortvolumes.com/?t=ARCC', 'indices': [68, 91]}]",en,recent,925001257663811584,925001257663811584,shortvolumes,shortvolumes,"New York, USA",https://t.co/fwAmxNzbuv is tracking daily short sale volume of stock from some market.,https://t.co/fwAmxNzbuv,"[{'url': 'https://t.co/fwAmxNzbuv', 'expanded_url': 'http://shortvolumes.com', 'display_url': 'shortvolumes.com', 'indices': [0, 23]}]",False,3474,40,66,Mon Oct 30 14:07:40 +0000 2017,0,,,False,False,103332,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/926468965198471168/Ydg1FiqU_normal.jpg,https://pbs.twimg.com/profile_images/926468965198471168/Ydg1FiqU_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,False,"[{'url': 'https://t.co/fwAmxNzbuv', 'expanded_url': 'http://shortvolumes.com', 'display_url': 'shortvolumes.com', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/925001257663811584/1509722375,2020-11-11 08:00:03.272553+00:00
