dt_index,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.entities.media,retweeted_status.extended_entities.media,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.possibly_sensitive,retweeted_status.lang,possibly_sensitive,fetched_at
2020-11-11 07:56:36+00:00,1326433631083098113,1326433631083098113,"Alibaba Shatters Singles Day Sales Record At $56B â With Another 24 Hours To Go

Related Tickers: $AAPL $ADDDF $AMZN $BABA $JD $NKE $XIACF",False,"[0, 140]","<a href=""https://www.thestockbible.com"" rel=""nofollow"">QuantData</a>",,,,,,,,,,False,0,0,False,False,en,[],"[{'text': 'AAPL', 'indices': [100, 105]}, {'text': 'ADDDF', 'indices': [106, 112]}, {'text': 'AMZN', 'indices': [113, 118]}, {'text': 'BABA', 'indices': [119, 124]}, {'text': 'JD', 'indices': [125, 128]}, {'text': 'NKE', 'indices': [129, 133]}, {'text': 'XIACF', 'indices': [134, 140]}]",[],[],en,recent,1254906887490936845,1254906887490936845,Quant Data,quant_data,"Florida, U.S.","Institutional grade options order flow, real-time news, alerts, and more.
Start your FREE 7 day trial below ⬇️",https://t.co/2PIuMoza7R,"[{'url': 'https://t.co/2PIuMoza7R', 'expanded_url': 'https://quantdata.us/', 'display_url': 'quantdata.us', 'indices': [0, 23]}]",[],False,3024,20,58,Mon Apr 27 22:55:07 +0000 2020,38,,,False,False,29449,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1313651546211733505/o_KuWA_y_normal.jpg,https://pbs.twimg.com/profile_images/1313651546211733505/o_KuWA_y_normal.jpg,https://pbs.twimg.com/profile_banners/1254906887490936845/1602048848,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-11-11 08:00:11.561542+00:00
2020-11-11 07:52:54+00:00,1326432699519819776,1326432699519819776,"RT @Reuters: The European Union has charged Amazon with damaging retail competition, accusing the U.S. company of using its size, power and…",False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,47,0,False,False,en,[],[],"[{'screen_name': 'Reuters', 'name': 'Reuters', 'id': 1652541, 'id_str': '1652541', 'indices': [3, 11]}]",[],en,recent,167999129,167999129,Thereza Fontoura,therezafontoura,,"Economista , botafoguense , carioca",,,[],False,322,181,1,Sun Jul 18 03:17:08 +0000 2010,296582,,,True,False,594200,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,False,http://pbs.twimg.com/profile_images/1088079334/fogao_normal.jpg,https://pbs.twimg.com/profile_images/1088079334/fogao_normal.jpg,https://pbs.twimg.com/profile_banners/167999129/1514935743,ED2F2F,FFFFFF,E5507E,362720,False,True,False,False,False,False,False,none,Tue Nov 10 17:30:00 +0000 2020,1.326215544949805e+18,1326215544949805062,"The European Union has charged Amazon with damaging retail competition, accusing the U.S. company of using its size, power and data to give it an unfair advantage over smaller merchants that sell on its online platform https://t.co/2UHKg0nbEp $AMZN https://t.co/upWs2cbJtf",False,"[0, 248]",[],"[{'text': 'AMZN', 'indices': [243, 248]}]",[],"[{'url': 'https://t.co/2UHKg0nbEp', 'expanded_url': 'https://reut.rs/3eSygJS', 'display_url': 'reut.rs/3eSygJS', 'indices': [219, 242]}]","[{'id': 1326203159144849408, 'id_str': '1326203159144849408', 'indices': [249, 272], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1326203159144849408/img/Dmvy0xlts-4JYGDC.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1326203159144849408/img/Dmvy0xlts-4JYGDC.jpg', 'url': 'https://t.co/upWs2cbJtf', 'display_url': 'pic.twitter.com/upWs2cbJtf', 'expanded_url': 'https://twitter.com/Reuters/status/1326215544949805062/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]","[{'id': 1326203159144849408, 'id_str': '1326203159144849408', 'indices': [249, 272], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1326203159144849408/img/Dmvy0xlts-4JYGDC.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1326203159144849408/img/Dmvy0xlts-4JYGDC.jpg', 'url': 'https://t.co/upWs2cbJtf', 'display_url': 'pic.twitter.com/upWs2cbJtf', 'expanded_url': 'https://twitter.com/Reuters/status/1326215544949805062/video/1', 'type': 'video', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 101969, 'variants': [{'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1326203159144849408/vid/640x360/ehurRfvugmSu--vF.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1326203159144849408/pl/Ezd2uYFbaDWJckCv.m3u8?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1326203159144849408/vid/480x270/akm0TzRTuOtyAb5I.mp4?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1326203159144849408/vid/1280x720/VtQ6Z9QPCGtqWI46.mp4?tag=13'}]}, 'additional_media_info': {'title': 'EU charges Amazon with anti-competitive action – Technology', 'description': '', 'call_to_actions': {'visit_site': {'url': 'https://www.youtube.com/user/ReutersVideo'}}, 'embeddable': True, 'monetizable': False}}]",en,recent,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,,,,1652541.0,1652541,Reuters,Reuters,Around the world,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",http://t.co/BmHxhkm3Mh,"[{'url': 'http://t.co/BmHxhkm3Mh', 'expanded_url': 'http://www.reuters.com', 'display_url': 'reuters.com', 'indices': [0, 22]}]",[],False,22672135.0,1123.0,123217.0,Tue Mar 20 17:46:05 +0000 2007,750.0,,,False,True,610431.0,,False,False,True,444444,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1194751949821939712/3VBu4_Sa_normal.jpg,https://pbs.twimg.com/profile_images/1194751949821939712/3VBu4_Sa_normal.jpg,https://pbs.twimg.com/profile_banners/1652541/1573687397,006F97,000000,F5F5F5,000000,True,False,False,False,False,False,False,regular,,,,,False,47.0,165.0,False,False,False,en,,2020-11-11 08:00:11.561542+00:00
2020-11-11 07:52:34+00:00,1326432618850775042,1326432618850775042,"RT @jchatterleyCNN: Amazon accused! The EU charges #Amazon with antitrust violations.

@annastewartcnn has the details on @firstmove $AMZN…",False,"[0, 139]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,10,0,False,False,en,"[{'text': 'Amazon', 'indices': [51, 58]}]",[],"[{'screen_name': 'jchatterleyCNN', 'name': 'Julia Chatterley', 'id': 497262990, 'id_str': '497262990', 'indices': [3, 18]}, {'screen_name': 'annastewartcnn', 'name': 'Anna Stewart', 'id': 222418521, 'id_str': '222418521', 'indices': [87, 102]}, {'screen_name': 'firstmove', 'name': 'First Move CNN', 'id': 1036631333433421824, 'id_str': '1036631333433421824', 'indices': [122, 132]}]",[],en,recent,310206407,310206407,Pranav Rathod प्रणव,PranavRathod2,cardiff / india ,think before you drive foodie#travelling#mumbai#bahrain ✈️😘💝🇧🇭🇮🇳🇬🇧,,,[],False,151,1660,8,Fri Jun 03 11:00:36 +0000 2011,10013,,,True,False,1736,,False,False,False,14E314,http://abs.twimg.com/images/themes/theme4/bg.gif,https://abs.twimg.com/images/themes/theme4/bg.gif,False,http://pbs.twimg.com/profile_images/1307353770184060930/Ylqz5lV0_normal.jpg,https://pbs.twimg.com/profile_images/1307353770184060930/Ylqz5lV0_normal.jpg,https://pbs.twimg.com/profile_banners/310206407/1574005128,3B94D9,000000,55D435,3C3940,True,True,False,False,False,False,False,none,Tue Nov 10 14:54:48 +0000 2020,1.3261764890337567e+18,1326176489033756672,"Amazon accused! The EU charges #Amazon with antitrust violations.

@annastewartcnn has the details on @firstmove $AMZN https://t.co/S00FT1AMAY",False,"[0, 118]","[{'text': 'Amazon', 'indices': [31, 38]}]","[{'text': 'AMZN', 'indices': [113, 118]}]","[{'screen_name': 'annastewartcnn', 'name': 'Anna Stewart', 'id': 222418521, 'id_str': '222418521', 'indices': [67, 82]}, {'screen_name': 'firstmove', 'name': 'First Move CNN', 'id': 1036631333433421824, 'id_str': '1036631333433421824', 'indices': [102, 112]}]",[],"[{'id': 1326176309471490054, 'id_str': '1326176309471490054', 'indices': [119, 142], 'media_url': 'http://pbs.twimg.com/media/EmeHCBnXMAEbJxT.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EmeHCBnXMAEbJxT.jpg', 'url': 'https://t.co/S00FT1AMAY', 'display_url': 'pic.twitter.com/S00FT1AMAY', 'expanded_url': 'https://twitter.com/jchatterleyCNN/status/1326176489033756672/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]","[{'id': 1326176309471490054, 'id_str': '1326176309471490054', 'indices': [119, 142], 'media_url': 'http://pbs.twimg.com/media/EmeHCBnXMAEbJxT.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EmeHCBnXMAEbJxT.jpg', 'url': 'https://t.co/S00FT1AMAY', 'display_url': 'pic.twitter.com/S00FT1AMAY', 'expanded_url': 'https://twitter.com/jchatterleyCNN/status/1326176489033756672/video/1', 'type': 'video', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 183450, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1326176309471490054/pl/vBjrdrYIXaOZqYT_.m3u8?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1326176309471490054/vid/480x270/FrMfeImIg-24lkjR.mp4?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1326176309471490054/vid/1280x720/YJ4n4Gd1HkxBGopL.mp4?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1326176309471490054/vid/640x360/tEoZZTVzTJBR3EVo.mp4?tag=13'}]}, 'additional_media_info': {'monetizable': False}}]",en,recent,"<a href=""http://www.snapstream.com"" rel=""nofollow"">SnapStream TV Search</a>",,,,,,497262990.0,497262990,Julia Chatterley,jchatterleyCNN,"Manhattan, NY",@CNN Anchor: First Move with Julia Chatterley Watch weekdays on @CNNi 9a ET/2p BST/3p CET Stream at CNNgo (https://t.co/yTKeAufvQG). Follow @firstmove,https://t.co/ZF5R2y7B8q,"[{'url': 'https://t.co/ZF5R2y7B8q', 'expanded_url': 'https://www.cnn.com/profiles/julia-chatterley-profile', 'display_url': 'cnn.com/profiles/julia…', 'indices': [0, 23]}]","[{'url': 'https://t.co/yTKeAufvQG', 'expanded_url': 'http://go.cnn.com', 'display_url': 'go.cnn.com', 'indices': [107, 130]}]",False,57919.0,3155.0,560.0,Sun Feb 19 20:02:03 +0000 2012,4907.0,,,True,True,6214.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1314746584345776129/l9Xd9sf__normal.jpg,https://pbs.twimg.com/profile_images/1314746584345776129/l9Xd9sf__normal.jpg,https://pbs.twimg.com/profile_banners/497262990/1599827611,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,False,10.0,49.0,False,False,False,en,,2020-11-11 08:00:11.561542+00:00
2020-11-11 07:48:03+00:00,1326431478985732096,1326431478985732096,"$BABA, $AAPL, $AMZN, $NKE Alibaba Shatters Singles Day Sales Record At $56B — With Another 24 Hours To Go - https://t.co/xcURYpYrDH",False,"[0, 131]","<a href=""http://www.benzinga.com"" rel=""nofollow"">Benzinga.com</a>",,,,,,,,,,False,0,0,False,False,en,[],"[{'text': 'BABA', 'indices': [0, 5]}, {'text': 'AAPL', 'indices': [7, 12]}, {'text': 'AMZN', 'indices': [14, 19]}, {'text': 'NKE', 'indices': [21, 25]}]",[],"[{'url': 'https://t.co/xcURYpYrDH', 'expanded_url': 'https://tinyurl.com/y5fk55t9', 'display_url': 'tinyurl.com/y5fk55t9', 'indices': [108, 131]}]",en,recent,98736295,98736295,BenzingaWire,BenzingaMedia,,"An automated feed of Benzinga's top stories | Follow
@Benzinga",http://t.co/f412uVis9A,"[{'url': 'http://t.co/f412uVis9A', 'expanded_url': 'http://www.Benzinga.com', 'display_url': 'Benzinga.com', 'indices': [0, 22]}]",[],False,4057,130,216,Tue Dec 22 22:40:36 +0000 2009,0,,,False,False,328230,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1599159142/bztwitter_normal.png,https://pbs.twimg.com/profile_images/1599159142/bztwitter_normal.png,,0084B4,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,2020-11-11 08:00:11.561542+00:00
