created_at,created_at,id,id_str,text,truncated,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.text,retweeted_status.truncated,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.possibly_sensitive,retweeted_status.lang,possibly_sensitive,date_time,fetched_at
2020-10-12 11:45:00+00:00,Mon Oct 12 11:45:00 +0000 2020,1315619474045722630,1315619474045722630,"The kickoff to Q3 earnings are here!

Most of the big banks,JNJ, United Health, and Walgreens have my eyes.

What a… https://t.co/lVutoBZp34",True,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,0,0,False,False,en,[],[],[],"[{'url': 'https://t.co/lVutoBZp34', 'expanded_url': 'https://twitter.com/i/web/status/1315619474045722630', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",en,recent,1290717769357496321,1290717769357496321,Gen Z Investor,GenZ_Investor,,"One of the oldest Gen Z’ers. Here to teach about Investing, Personal Finance, and Growth",,[],False,550,286,11,Tue Aug 04 18:34:42 +0000 2020,2615,,,False,False,2259,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1290717896138686467/Cn8V6q_2_normal.jpg,https://pbs.twimg.com/profile_images/1290717896138686467/Cn8V6q_2_normal.jpg,https://pbs.twimg.com/profile_banners/1290717769357496321/1596844539,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-12 11:45:00,2020-10-12 14:56:48
2020-10-12 11:44:22+00:00,Mon Oct 12 11:44:22 +0000 2020,1315619314049978368,1315619314049978368,"RT @JesseCohenInv: 💥Notable #Earnings To Watch This Week (via @eWhispers)💥

Mon: -
Tues: $JPM $C $BLK $JNJ $DAL $FAST
Wed: $BAC $GS $WFC $P…",False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,35,0,False,False,en,"[{'text': 'Earnings', 'indices': [28, 37]}]","[{'text': 'JPM', 'indices': [89, 93]}, {'text': 'C', 'indices': [94, 96]}, {'text': 'BLK', 'indices': [97, 101]}, {'text': 'JNJ', 'indices': [102, 106]}, {'text': 'DAL', 'indices': [107, 111]}, {'text': 'FAST', 'indices': [112, 117]}, {'text': 'BAC', 'indices': [123, 127]}, {'text': 'GS', 'indices': [128, 131]}, {'text': 'WFC', 'indices': [132, 136]}]","[{'screen_name': 'JesseCohenInv', 'name': 'Jesse Cohen', 'id': 19534637, 'id_str': '19534637', 'indices': [3, 17]}, {'screen_name': 'eWhispers', 'name': 'Earnings Whispers', 'id': 136136326, 'id_str': '136136326', 'indices': [62, 72]}]",[],en,recent,98239237,98239237,1,RareBreedOfTurk,,,,[],False,208,36,0,Mon Dec 21 00:27:24 +0000 2009,263,,,True,False,6070,,False,False,False,352726,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,False,http://pbs.twimg.com/profile_images/1009339655051993090/pu_Z-ulQ_normal.jpg,https://pbs.twimg.com/profile_images/1009339655051993090/pu_Z-ulQ_normal.jpg,,1B95E0,829D5E,99CC33,3E4415,True,False,False,False,False,False,False,none,Sun Oct 11 13:07:42 +0000 2020,1.3152779003215585e+18,1315277900321558528,"💥Notable #Earnings To Watch This Week (via @eWhispers)💥

Mon: -
Tues: $JPM $C $BLK $JNJ $DAL $FAST
Wed: $BAC $GS… https://t.co/fpYHED6Khh",True,"[{'text': 'Earnings', 'indices': [9, 18]}]","[{'text': 'JPM', 'indices': [70, 74]}, {'text': 'C', 'indices': [75, 77]}, {'text': 'BLK', 'indices': [78, 82]}, {'text': 'JNJ', 'indices': [83, 87]}, {'text': 'DAL', 'indices': [88, 92]}, {'text': 'FAST', 'indices': [93, 98]}, {'text': 'BAC', 'indices': [104, 108]}, {'text': 'GS', 'indices': [109, 112]}]","[{'screen_name': 'eWhispers', 'name': 'Earnings Whispers', 'id': 136136326, 'id_str': '136136326', 'indices': [43, 53]}]","[{'url': 'https://t.co/fpYHED6Khh', 'expanded_url': 'https://twitter.com/i/web/status/1315277900321558528', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]",en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,19534637.0,19534637,Jesse Cohen,JesseCohenInv,Tel Aviv,Global Markets Analyst. The creative mind behind @Investingcom's weekly comics.,https://t.co/0rYtrOFtv3,"[{'url': 'https://t.co/0rYtrOFtv3', 'expanded_url': 'https://www.investing.com/members/202100653', 'display_url': 'investing.com/members/202100…', 'indices': [0, 23]}]",[],False,11780.0,268.0,181.0,Mon Jan 26 13:52:39 +0000 2009,6986.0,,,True,False,63721.0,,False,False,False,131516,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/966634456911155201/vsMQLdlR_normal.jpg,https://pbs.twimg.com/profile_images/966634456911155201/vsMQLdlR_normal.jpg,https://pbs.twimg.com/profile_banners/19534637/1519298295,009499,EEEEEE,EFEFEF,333333,True,False,False,False,False,False,False,none,,,,,False,35.0,89.0,False,False,False,en,,2020-10-12 11:44:22,2020-10-12 14:56:48
2020-10-12 11:32:48+00:00,Mon Oct 12 11:32:48 +0000 2020,1315616403664371714,1315616403664371714,Earnings this week: lots of Financial Institutions and others. Im watching Taiwan Semiconductor Manufacturing Compa… https://t.co/XQSDoUbCZ7,True,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,[],[],[],"[{'url': 'https://t.co/XQSDoUbCZ7', 'expanded_url': 'https://twitter.com/i/web/status/1315616403664371714', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",en,recent,2343891445,2343891445,verlynemae,verlynemae,,I enjoy keeping up with the stock market.,,[],False,98,112,0,Fri Feb 14 17:27:49 +0000 2014,113,,,False,False,47,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1306763303725785088/njbBuB3v_normal.jpg,https://pbs.twimg.com/profile_images/1306763303725785088/njbBuB3v_normal.jpg,https://pbs.twimg.com/profile_banners/2343891445/1392522426,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,2020-10-12 11:32:48,2020-10-12 14:56:48
