dt_index,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.profile_banner_url,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.entities.media,retweeted_status.extended_entities.media,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.possibly_sensitive,retweeted_status.lang,fetched_at
2020-10-27 01:28:32+00:00,1320900154853998592,1320900154853998592,Organigram Dramatically Ups Its Investment Into Biosynthesized Cannabis Products $OGI https://t.co/c5RLwu8j9g $SPY,False,"[0, 114]","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",,,,,,,,,,False,0,0,False,False,False,en,[],"[{'text': 'OGI', 'indices': [81, 85]}, {'text': 'SPY', 'indices': [110, 114]}]",[],"[{'url': 'https://t.co/c5RLwu8j9g', 'expanded_url': 'http://dlvr.it/RkPPPD', 'display_url': 'dlvr.it/RkPPPD', 'indices': [86, 109]}]",en,recent,576434817,576434817,Market Follows,MarketFollows,,Follow your favourite markets on https://t.co/12AUOzUvvA,,"[{'url': 'https://t.co/12AUOzUvvA', 'expanded_url': 'https://finsharing.com', 'display_url': 'finsharing.com', 'indices': [33, 56]}]",False,1453,846,23,Thu May 10 16:05:50 +0000 2012,9,,,False,False,10705,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1128009565268795397/Cld5SPIf_normal.jpg,https://pbs.twimg.com/profile_images/1128009565268795397/Cld5SPIf_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-27 12:35:21.685685+00:00
2020-10-27 00:22:06+00:00,1320883436756869121,1320883436756869121,RT @weedstreet420: Cowen: Canadian Licensed Producers could spend up to $5.7 billion in the U.S. which could generate a 30% upside to reven…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,6,0,False,False,,en,[],[],"[{'screen_name': 'weedstreet420', 'name': 'WeedStreet420', 'id': 828810706258632704, 'id_str': '828810706258632704', 'indices': [3, 17]}]",[],en,recent,877342736281735168,877342736281735168,Kent Petersen,GridUnder,"Winnipeg, Manitoba",#Stocks #Pennystocks #Cannabis #MSO #Biotechs #Gold #Silver #Uranium #Solar,,[],False,156,36,7,Wed Jun 21 01:49:43 +0000 2017,7183,,,False,False,13304,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318864403542863872/o_eIwoyD_normal.jpg,https://pbs.twimg.com/profile_images/1318864403542863872/o_eIwoyD_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/877342736281735168/1603276459,Thu Oct 22 20:31:51 +0000 2020,1.3193759378305884e+18,1.3193759378305884e+18,"Cowen: Canadian Licensed Producers could spend up to $5.7 billion in the U.S. which could generate a 30% upside to revenues. OPEN THE M&amp;A FLOODGATES!
$WEED $CGC $CRON $APHA $TLRY $ACB $HEXO $OGI $SNDL https://t.co/LdiAIeiq4a",False,"[0, 204]",[],"[{'text': 'WEED', 'indices': [154, 159]}, {'text': 'CGC', 'indices': [160, 164]}, {'text': 'CRON', 'indices': [165, 170]}, {'text': 'APHA', 'indices': [171, 176]}, {'text': 'TLRY', 'indices': [177, 182]}, {'text': 'ACB', 'indices': [183, 187]}, {'text': 'HEXO', 'indices': [188, 193]}, {'text': 'OGI', 'indices': [194, 198]}, {'text': 'SNDL', 'indices': [199, 204]}]",[],[],"[{'id': 1319375498733039619, 'id_str': '1319375498733039619', 'indices': [205, 228], 'media_url': 'http://pbs.twimg.com/media/Ek9dBpdWMAMGf6Z.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ek9dBpdWMAMGf6Z.jpg', 'url': 'https://t.co/LdiAIeiq4a', 'display_url': 'pic.twitter.com/LdiAIeiq4a', 'expanded_url': 'https://twitter.com/weedstreet420/status/1319375937830588416/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1007, 'h': 1145, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 598, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1007, 'h': 1145, 'resize': 'fit'}}}]","[{'id': 1319375498733039619, 'id_str': '1319375498733039619', 'indices': [205, 228], 'media_url': 'http://pbs.twimg.com/media/Ek9dBpdWMAMGf6Z.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ek9dBpdWMAMGf6Z.jpg', 'url': 'https://t.co/LdiAIeiq4a', 'display_url': 'pic.twitter.com/LdiAIeiq4a', 'expanded_url': 'https://twitter.com/weedstreet420/status/1319375937830588416/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1007, 'h': 1145, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 598, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1007, 'h': 1145, 'resize': 'fit'}}}]",en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,8.288107062586327e+17,8.288107062586327e+17,WeedStreet420,weedstreet420,Canada,"Check out https://t.co/PrMND9ntot for the latest #PotStocks news, financials, analysts ratings, and a full-featured watch list
@UpsideMakers @Shroom_investor",https://t.co/kFhmqFCTnX,"[{'url': 'https://t.co/kFhmqFCTnX', 'expanded_url': 'https://www.WeedStreet420.com', 'display_url': 'WeedStreet420.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/PrMND9ntot', 'expanded_url': 'http://WeedStreet420.com', 'display_url': 'WeedStreet420.com', 'indices': [10, 33]}]",False,9105.0,871.0,103.0,Tue Feb 07 03:40:45 +0000 2017,19905.0,,,False,False,11621.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1105556153960988672/l-DTFVj1_normal.png,https://pbs.twimg.com/profile_images/1105556153960988672/l-DTFVj1_normal.png,https://pbs.twimg.com/profile_banners/828810706258632704/1583873120,19CF86,000000,000000,0.0,False,True,False,False,False,False,False,none,,,,,False,6.0,30.0,False,False,False,en,2020-10-27 12:35:21.685685+00:00
2020-10-27 00:21:16+00:00,1320883224738992130,1320883224738992130,"RT @skibumm7353: so far, we have heard that $OGI is up for sale... $CGC &amp; $APHA had potential deal...rumours that $GTII buying out $TRUL...…",False,"[0, 144]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,,en,[],"[{'text': 'OGI', 'indices': [44, 48]}, {'text': 'CGC', 'indices': [67, 71]}, {'text': 'APHA', 'indices': [78, 83]}, {'text': 'GTII', 'indices': [118, 123]}, {'text': 'TRUL', 'indices': [135, 140]}]","[{'screen_name': 'skibumm7353', 'name': 'John Boyce', 'id': 203223437, 'id_str': '203223437', 'indices': [3, 15]}]",[],en,recent,877342736281735168,877342736281735168,Kent Petersen,GridUnder,"Winnipeg, Manitoba",#Stocks #Pennystocks #Cannabis #MSO #Biotechs #Gold #Silver #Uranium #Solar,,[],False,156,36,7,Wed Jun 21 01:49:43 +0000 2017,7183,,,False,False,13304,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318864403542863872/o_eIwoyD_normal.jpg,https://pbs.twimg.com/profile_images/1318864403542863872/o_eIwoyD_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/877342736281735168/1603276459,Mon Oct 26 01:06:56 +0000 2020,1.32053232945929e+18,1.32053232945929e+18,"so far, we have heard that $OGI is up for sale... $CGC &amp; $APHA had potential deal...rumours that $GTII buying out $TRUL.... nothing yet?? Comp's like $WEED &amp; $CRON have $$ to make a deal..and especially Cdn LP's need something to ignite the market.../post Cdn $APHA $VFF.... $POT",False,"[0, 287]",[],"[{'text': 'OGI', 'indices': [27, 31]}, {'text': 'CGC', 'indices': [50, 54]}, {'text': 'APHA', 'indices': [61, 66]}, {'text': 'GTII', 'indices': [101, 106]}, {'text': 'TRUL', 'indices': [118, 123]}, {'text': 'WEED', 'indices': [154, 159]}, {'text': 'CRON', 'indices': [166, 171]}, {'text': 'APHA', 'indices': [268, 273]}, {'text': 'VFF', 'indices': [274, 278]}, {'text': 'POT', 'indices': [283, 287]}]",[],[],,,en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,203223437.0,203223437.0,John Boyce,skibumm7353,"Piedmont, Quebec","Skiing,stock investing,Syracuse Orange,Les Canadiens,Bills,Yanks. Retired S/Sgt 7353, 35+ yrs Toronto Police Service, 52 Div,will always miss Sgt.Ryan Russell.",http://t.co/jFTZJUNwcs,"[{'url': 'http://t.co/jFTZJUNwcs', 'expanded_url': 'http://photographywhistler.com', 'display_url': 'photographywhistler.com', 'indices': [0, 22]}]",[],False,292.0,69.0,27.0,Fri Oct 15 20:16:14 +0000 2010,15857.0,,,True,False,5607.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1266392227326066689/bJWDoJzG_normal.jpg,https://pbs.twimg.com/profile_images/1266392227326066689/bJWDoJzG_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333.0,True,False,True,False,False,False,False,none,,,,,False,1.0,4.0,False,False,,en,2020-10-27 12:35:21.685685+00:00
