dt_index,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,entities.media,extended_entities.media,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.entities.media,retweeted_status.extended_entities.media,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.possibly_sensitive,retweeted_status.lang,user.entities.url.urls,fetched_at,retweeted_status.user.entities.url.urls,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.entities.hashtags,quoted_status.entities.symbols,quoted_status.entities.user_mentions,quoted_status.entities.urls,quoted_status.entities.media,quoted_status.extended_entities.media,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang
2020-10-26 15:45:36+00:00,1320753455808565248,1320753455808565248,RT @shortvolumes: Short sale vol (not short interest) for $OGI on 2020-10-23 is 57%. https://t.co/sKlgJi9nIG $CCL 38% $PRTY 74% $EQT 50% $T…,False,"[0, 140]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,,,,,,,,False,2,0,False,False,False,en,[],"[{'text': 'OGI', 'indices': [58, 62]}, {'text': 'CCL', 'indices': [109, 113]}, {'text': 'PRTY', 'indices': [118, 123]}, {'text': 'EQT', 'indices': [128, 132]}]","[{'screen_name': 'shortvolumes', 'name': 'shortvolumes', 'id': 925001257663811584, 'id_str': '925001257663811584', 'indices': [3, 16]}]","[{'url': 'https://t.co/sKlgJi9nIG', 'expanded_url': 'http://shortvolumes.com/?t=OGI', 'display_url': 'shortvolumes.com/?t=OGI', 'indices': [85, 108]}]",,,en,recent,1030636008541278208,1030636008541278208,jungle.java,junglejava1,Canada,Full time Domestic Goddess for my awesome hubby and 2 wonderful boys who has found a passion for investing and learning about the stock market.,,[],False,2235,2589,18,Sat Aug 18 02:02:27 +0000 2018,62667,,,False,False,28997,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1073952579023822849/86nDXabo_normal.jpg,https://pbs.twimg.com/profile_images/1073952579023822849/86nDXabo_normal.jpg,https://pbs.twimg.com/profile_banners/1030636008541278208/1559496008,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,Sun Oct 25 13:36:01 +0000 2020,1.320358454591185e+18,1320358454591184899,Short sale vol (not short interest) for $OGI on 2020-10-23 is 57%. https://t.co/sKlgJi9nIG $CCL 38% $PRTY 74% $EQT 50% $TRVN 71%,False,"[0, 128]",[],"[{'text': 'OGI', 'indices': [40, 44]}, {'text': 'CCL', 'indices': [91, 95]}, {'text': 'PRTY', 'indices': [100, 105]}, {'text': 'EQT', 'indices': [110, 114]}, {'text': 'TRVN', 'indices': [119, 124]}]",[],"[{'url': 'https://t.co/sKlgJi9nIG', 'expanded_url': 'http://shortvolumes.com/?t=OGI', 'display_url': 'shortvolumes.com/?t=OGI', 'indices': [67, 90]}]",,,en,recent,"<a href=""http://shortvolumes.com"" rel=""nofollow"">Short Volumes</a>",,,,,,9.250012576638116e+17,925001257663811584,shortvolumes,shortvolumes,"New York, USA",https://t.co/fwAmxNzbuv is tracking daily short sale volume of stock from some market.,https://t.co/fwAmxNzbuv,"[{'url': 'https://t.co/fwAmxNzbuv', 'expanded_url': 'http://shortvolumes.com', 'display_url': 'shortvolumes.com', 'indices': [0, 23]}]",False,3469.0,39.0,68.0,Mon Oct 30 14:07:40 +0000 2017,0.0,,,False,False,101826.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/926468965198471168/Ydg1FiqU_normal.jpg,https://pbs.twimg.com/profile_images/926468965198471168/Ydg1FiqU_normal.jpg,https://pbs.twimg.com/profile_banners/925001257663811584/1509722375,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,False,2.0,0.0,False,False,False,en,,2020-10-26 15:51:54.363775+00:00,"[{'url': 'https://t.co/fwAmxNzbuv', 'expanded_url': 'http://shortvolumes.com', 'display_url': 'shortvolumes.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-26 15:34:59+00:00,1320750782678007808,1320750782678007808,"RT @FRONTPAGEARMY2: $HPMM Hemp Naturals Premium CBD Gummies Are Now Available Smokers World @frontpagestocks https://t.co/Ge7rgHaGzc

$HEMP…",False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,False,en,[],"[{'text': 'HPMM', 'indices': [20, 25]}]","[{'screen_name': 'FRONTPAGEARMY2', 'name': 'FRONTPAGESTOCKS SOLDIER❗', 'id': 1023968897567866881, 'id_str': '1023968897567866881', 'indices': [3, 18]}, {'screen_name': 'frontpagestocks', 'name': 'FrontPageStocks', 'id': 287885364, 'id_str': '287885364', 'indices': [92, 108]}]","[{'url': 'https://t.co/Ge7rgHaGzc', 'expanded_url': 'https://finance.yahoo.com/news/hemp-naturals-premium-cbd-gummies-130000213.html', 'display_url': 'finance.yahoo.com/news/hemp-natu…', 'indices': [109, 132]}]",,,en,recent,14875458,14875458,michael hall,cloutonthest,"Connecticut, USA",CEO OF ALPHA STREET MEDIA& CLOUT ON THE STREET follow @theliquidcbd @alphastreetmed awareness king MR nasdaq #10xlife #pennystocks #wallstreet #investing #cbd,https://t.co/iWci7R48dd,[],False,2545,2532,29,Fri May 23 00:41:39 +0000 2008,16791,,,True,False,24558,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1319109921972039680/_pSem02H_normal.png,https://pbs.twimg.com/profile_images/1319109921972039680/_pSem02H_normal.png,https://pbs.twimg.com/profile_banners/14875458/1578337919,990000,999999,121212,666666,True,True,False,False,False,False,False,none,Mon Oct 26 15:32:55 +0000 2020,1.3207502628274012e+18,1.3207502628274012e+18,"$HPMM Hemp Naturals Premium CBD Gummies Are Now Available Smokers World @frontpagestocks https://t.co/Ge7rgHaGzc

$HEMP $MJNA $HEXO $TGODF $KSHB $CBDS $HRVSF $EMHTF $OGI $ALEAF $CBWTF $SPRWF $VPOR $GBLX $ERBB $LXRP $TURV $KAYS $MNTR $CNAB $AMMJ $KSHB $MJNE $NDEV $CVSI $HLSPY https://t.co/ylbNegHsqr",False,"[0, 275]",[],"[{'text': 'HPMM', 'indices': [0, 5]}, {'text': 'HEMP', 'indices': [114, 119]}, {'text': 'MJNA', 'indices': [120, 125]}, {'text': 'HEXO', 'indices': [126, 131]}, {'text': 'TGODF', 'indices': [132, 138]}, {'text': 'KSHB', 'indices': [139, 144]}, {'text': 'CBDS', 'indices': [145, 150]}, {'text': 'HRVSF', 'indices': [151, 157]}, {'text': 'EMHTF', 'indices': [158, 164]}, {'text': 'OGI', 'indices': [165, 169]}, {'text': 'ALEAF', 'indices': [170, 176]}, {'text': 'CBWTF', 'indices': [177, 183]}, {'text': 'SPRWF', 'indices': [184, 190]}, {'text': 'VPOR', 'indices': [191, 196]}, {'text': 'GBLX', 'indices': [197, 202]}, {'text': 'ERBB', 'indices': [203, 208]}, {'text': 'LXRP', 'indices': [209, 214]}, {'text': 'TURV', 'indices': [215, 220]}, {'text': 'KAYS', 'indices': [221, 226]}, {'text': 'MNTR', 'indices': [227, 232]}, {'text': 'CNAB', 'indices': [233, 238]}, {'text': 'AMMJ', 'indices': [239, 244]}, {'text': 'KSHB', 'indices': [245, 250]}, {'text': 'MJNE', 'indices': [251, 256]}, {'text': 'NDEV', 'indices': [257, 262]}, {'text': 'CVSI', 'indices': [263, 268]}, {'text': 'HLSPY', 'indices': [269, 275]}]","[{'screen_name': 'frontpagestocks', 'name': 'FrontPageStocks', 'id': 287885364, 'id_str': '287885364', 'indices': [72, 88]}]","[{'url': 'https://t.co/Ge7rgHaGzc', 'expanded_url': 'https://finance.yahoo.com/news/hemp-naturals-premium-cbd-gummies-130000213.html', 'display_url': 'finance.yahoo.com/news/hemp-natu…', 'indices': [89, 112]}]","[{'id': 1320750250760392704, 'id_str': '1320750250760392704', 'indices': [276, 299], 'media_url': 'http://pbs.twimg.com/media/ElQ_Wv2U0AAB5TW.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ElQ_Wv2U0AAB5TW.jpg', 'url': 'https://t.co/ylbNegHsqr', 'display_url': 'pic.twitter.com/ylbNegHsqr', 'expanded_url': 'https://twitter.com/FRONTPAGEARMY2/status/1320750262827401216/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 860, 'resize': 'fit'}, 'large': {'w': 1856, 'h': 1330, 'resize': 'fit'}, 'small': {'w': 680, 'h': 487, 'resize': 'fit'}}}]","[{'id': 1320750250760392704, 'id_str': '1320750250760392704', 'indices': [276, 299], 'media_url': 'http://pbs.twimg.com/media/ElQ_Wv2U0AAB5TW.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ElQ_Wv2U0AAB5TW.jpg', 'url': 'https://t.co/ylbNegHsqr', 'display_url': 'pic.twitter.com/ylbNegHsqr', 'expanded_url': 'https://twitter.com/FRONTPAGEARMY2/status/1320750262827401216/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 860, 'resize': 'fit'}, 'large': {'w': 1856, 'h': 1330, 'resize': 'fit'}, 'small': {'w': 680, 'h': 487, 'resize': 'fit'}}}]",en,recent,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,1.0239688975678668e+18,1.0239688975678668e+18,FRONTPAGESTOCKS SOLDIER❗,FRONTPAGEARMY2,Central,Find out why Thousands of #PennyStock #Investors trust #FRONTPAGESTOCKS for their daily stock alerts. Sign up today! https://t.co/1TBice1Knj,https://t.co/Csp39aYo4d,"[{'url': 'https://t.co/1TBice1Knj', 'expanded_url': 'http://www.frontpagestocks.com/', 'display_url': 'frontpagestocks.com', 'indices': [117, 140]}]",False,502.0,62.0,12.0,Mon Jul 30 16:29:44 +0000 2018,74.0,,,False,False,8700.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1101499444963360773/ZbWDZ1L7_normal.png,https://pbs.twimg.com/profile_images/1101499444963360773/ZbWDZ1L7_normal.png,https://pbs.twimg.com/profile_banners/1023968897567866881/1551452957,1DA1F2,C0DEED,DDEEF6,333333.0,True,True,True,False,False,False,False,none,,,,,False,1.0,2.0,False,False,False,en,"[{'url': 'https://t.co/iWci7R48dd', 'expanded_url': 'https://m.youtube.com/channel/UCCCNCzf8oYeBX0lKC361ACA', 'display_url': 'm.youtube.com/channel/UCCCNC…', 'indices': [0, 23]}]",2020-10-26 15:35:39.518368+00:00,"[{'url': 'https://t.co/Csp39aYo4d', 'expanded_url': 'http://www.frontpagestocks.com', 'display_url': 'frontpagestocks.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-26 15:32:55+00:00,1320750262827401216,1320750262827401216,"$HPMM Hemp Naturals Premium CBD Gummies Are Now Available Smokers World @frontpagestocks https://t.co/Ge7rgHaGzc

$HEMP $MJNA $HEXO $TGODF $KSHB $CBDS $HRVSF $EMHTF $OGI $ALEAF $CBWTF $SPRWF $VPOR $GBLX $ERBB $LXRP $TURV $KAYS $MNTR $CNAB $AMMJ $KSHB $MJNE $NDEV $CVSI $HLSPY https://t.co/ylbNegHsqr",False,"[0, 275]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,1,2,False,False,False,en,[],"[{'text': 'HPMM', 'indices': [0, 5]}, {'text': 'HEMP', 'indices': [114, 119]}, {'text': 'MJNA', 'indices': [120, 125]}, {'text': 'HEXO', 'indices': [126, 131]}, {'text': 'TGODF', 'indices': [132, 138]}, {'text': 'KSHB', 'indices': [139, 144]}, {'text': 'CBDS', 'indices': [145, 150]}, {'text': 'HRVSF', 'indices': [151, 157]}, {'text': 'EMHTF', 'indices': [158, 164]}, {'text': 'OGI', 'indices': [165, 169]}, {'text': 'ALEAF', 'indices': [170, 176]}, {'text': 'CBWTF', 'indices': [177, 183]}, {'text': 'SPRWF', 'indices': [184, 190]}, {'text': 'VPOR', 'indices': [191, 196]}, {'text': 'GBLX', 'indices': [197, 202]}, {'text': 'ERBB', 'indices': [203, 208]}, {'text': 'LXRP', 'indices': [209, 214]}, {'text': 'TURV', 'indices': [215, 220]}, {'text': 'KAYS', 'indices': [221, 226]}, {'text': 'MNTR', 'indices': [227, 232]}, {'text': 'CNAB', 'indices': [233, 238]}, {'text': 'AMMJ', 'indices': [239, 244]}, {'text': 'KSHB', 'indices': [245, 250]}, {'text': 'MJNE', 'indices': [251, 256]}, {'text': 'NDEV', 'indices': [257, 262]}, {'text': 'CVSI', 'indices': [263, 268]}, {'text': 'HLSPY', 'indices': [269, 275]}]","[{'screen_name': 'frontpagestocks', 'name': 'FrontPageStocks', 'id': 287885364, 'id_str': '287885364', 'indices': [72, 88]}]","[{'url': 'https://t.co/Ge7rgHaGzc', 'expanded_url': 'https://finance.yahoo.com/news/hemp-naturals-premium-cbd-gummies-130000213.html', 'display_url': 'finance.yahoo.com/news/hemp-natu…', 'indices': [89, 112]}]","[{'id': 1320750250760392704, 'id_str': '1320750250760392704', 'indices': [276, 299], 'media_url': 'http://pbs.twimg.com/media/ElQ_Wv2U0AAB5TW.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ElQ_Wv2U0AAB5TW.jpg', 'url': 'https://t.co/ylbNegHsqr', 'display_url': 'pic.twitter.com/ylbNegHsqr', 'expanded_url': 'https://twitter.com/FRONTPAGEARMY2/status/1320750262827401216/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 860, 'resize': 'fit'}, 'large': {'w': 1856, 'h': 1330, 'resize': 'fit'}, 'small': {'w': 680, 'h': 487, 'resize': 'fit'}}}]","[{'id': 1320750250760392704, 'id_str': '1320750250760392704', 'indices': [276, 299], 'media_url': 'http://pbs.twimg.com/media/ElQ_Wv2U0AAB5TW.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ElQ_Wv2U0AAB5TW.jpg', 'url': 'https://t.co/ylbNegHsqr', 'display_url': 'pic.twitter.com/ylbNegHsqr', 'expanded_url': 'https://twitter.com/FRONTPAGEARMY2/status/1320750262827401216/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 860, 'resize': 'fit'}, 'large': {'w': 1856, 'h': 1330, 'resize': 'fit'}, 'small': {'w': 680, 'h': 487, 'resize': 'fit'}}}]",en,recent,1023968897567866881,1023968897567866881,FRONTPAGESTOCKS SOLDIER❗,FRONTPAGEARMY2,Central,Find out why Thousands of #PennyStock #Investors trust #FRONTPAGESTOCKS for their daily stock alerts. Sign up today! https://t.co/1TBice1Knj,https://t.co/Csp39aYo4d,"[{'url': 'https://t.co/1TBice1Knj', 'expanded_url': 'http://www.frontpagestocks.com/', 'display_url': 'frontpagestocks.com', 'indices': [117, 140]}]",False,502,62,12,Mon Jul 30 16:29:44 +0000 2018,74,,,False,False,8700,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1101499444963360773/ZbWDZ1L7_normal.png,https://pbs.twimg.com/profile_images/1101499444963360773/ZbWDZ1L7_normal.png,https://pbs.twimg.com/profile_banners/1023968897567866881/1551452957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/Csp39aYo4d', 'expanded_url': 'http://www.frontpagestocks.com', 'display_url': 'frontpagestocks.com', 'indices': [0, 23]}]",2020-10-26 15:35:39.518368+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-26 15:32:43+00:00,1320750210902097926,1320750210902097926,"$HPMM Hemp Naturals Premium CBD Gummies Are Now Available Smokers World @frontpagestocks https://t.co/EYrggfiURX

$HEMP $MJNA $HEXO $TGODF $KSHB $CBDS $HRVSF $EMHTF $OGI $ALEAF $CBWTF $SPRWF $VPOR $GBLX $ERBB $LXRP $TURV $KAYS $MNTR $CNAB $AMMJ $KSHB $MJNE $NDEV $CVSI $HLSPY https://t.co/JXFIjB3M2e",False,"[0, 275]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,0,0,False,False,False,en,[],"[{'text': 'HPMM', 'indices': [0, 5]}, {'text': 'HEMP', 'indices': [114, 119]}, {'text': 'MJNA', 'indices': [120, 125]}, {'text': 'HEXO', 'indices': [126, 131]}, {'text': 'TGODF', 'indices': [132, 138]}, {'text': 'KSHB', 'indices': [139, 144]}, {'text': 'CBDS', 'indices': [145, 150]}, {'text': 'HRVSF', 'indices': [151, 157]}, {'text': 'EMHTF', 'indices': [158, 164]}, {'text': 'OGI', 'indices': [165, 169]}, {'text': 'ALEAF', 'indices': [170, 176]}, {'text': 'CBWTF', 'indices': [177, 183]}, {'text': 'SPRWF', 'indices': [184, 190]}, {'text': 'VPOR', 'indices': [191, 196]}, {'text': 'GBLX', 'indices': [197, 202]}, {'text': 'ERBB', 'indices': [203, 208]}, {'text': 'LXRP', 'indices': [209, 214]}, {'text': 'TURV', 'indices': [215, 220]}, {'text': 'KAYS', 'indices': [221, 226]}, {'text': 'MNTR', 'indices': [227, 232]}, {'text': 'CNAB', 'indices': [233, 238]}, {'text': 'AMMJ', 'indices': [239, 244]}, {'text': 'KSHB', 'indices': [245, 250]}, {'text': 'MJNE', 'indices': [251, 256]}, {'text': 'NDEV', 'indices': [257, 262]}, {'text': 'CVSI', 'indices': [263, 268]}, {'text': 'HLSPY', 'indices': [269, 275]}]","[{'screen_name': 'frontpagestocks', 'name': 'FrontPageStocks', 'id': 287885364, 'id_str': '287885364', 'indices': [72, 88]}]","[{'url': 'https://t.co/EYrggfiURX', 'expanded_url': 'https://finance.yahoo.com/news/hemp-naturals-premium-cbd-gummies-130000213.html', 'display_url': 'finance.yahoo.com/news/hemp-natu…', 'indices': [89, 112]}]","[{'id': 1320750196238602240, 'id_str': '1320750196238602240', 'indices': [276, 299], 'media_url': 'http://pbs.twimg.com/media/ElQ_TkvUUAATcG0.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ElQ_TkvUUAATcG0.jpg', 'url': 'https://t.co/JXFIjB3M2e', 'display_url': 'pic.twitter.com/JXFIjB3M2e', 'expanded_url': 'https://twitter.com/FrontPageArmy/status/1320750210902097926/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 860, 'resize': 'fit'}, 'large': {'w': 1856, 'h': 1330, 'resize': 'fit'}, 'small': {'w': 680, 'h': 487, 'resize': 'fit'}}}]","[{'id': 1320750196238602240, 'id_str': '1320750196238602240', 'indices': [276, 299], 'media_url': 'http://pbs.twimg.com/media/ElQ_TkvUUAATcG0.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ElQ_TkvUUAATcG0.jpg', 'url': 'https://t.co/JXFIjB3M2e', 'display_url': 'pic.twitter.com/JXFIjB3M2e', 'expanded_url': 'https://twitter.com/FrontPageArmy/status/1320750210902097926/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 860, 'resize': 'fit'}, 'large': {'w': 1856, 'h': 1330, 'resize': 'fit'}, 'small': {'w': 680, 'h': 487, 'resize': 'fit'}}}]",en,recent,1083567738264576000,1083567738264576000,FRONTPAGESTOCKS ARMY📢,FrontPageArmy,"Talisay City, Central Visayas",Our site and social media community exist to provide a forum for smaller companies to tell their story to individual investors. https://t.co/1TBice1Knj,,"[{'url': 'https://t.co/1TBice1Knj', 'expanded_url': 'http://www.frontpagestocks.com/', 'display_url': 'frontpagestocks.com', 'indices': [128, 151]}]",False,425,208,6,Fri Jan 11 03:34:15 +0000 2019,20,,,False,False,6919,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1083680948376416256/qSFUxTG8_normal.jpg,https://pbs.twimg.com/profile_images/1083680948376416256/qSFUxTG8_normal.jpg,https://pbs.twimg.com/profile_banners/1083567738264576000/1548697770,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-26 15:35:39.518368+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
