,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,interest,change,most_active,event,id,created_at
0,0.0,0.0,0.0,0.0,0.0,9,,"RT @stevenmarkryan: Plaid S costs a Model Y more than Performance S. 

$TSLA",False,3,2020-10-14 09:39:18.171434
1,1.0,1.0,1.0,1.0,,11,,"RT @TSLAFanMtl: 1/There are always many questions raised when $TSLA decreases price. Bears immediately jump to demand concerns, but the tru…",False,3,2020-10-14 10:11:48.746404
2,2.0,2.0,2.0,,,18,,"RT @garyblack00: If $TSLA FSD truly works - zero interventions, no mishaps, generalized system - and there certainly will be cynics despera…",False,3,2020-10-14 13:25:49.918164
3,3.0,3.0,,,,11,,"RT @vincent13031925: Tesla deliveries from 2012-2020:

2020:  500,000 (estimated target)
2019:   367,500
2018:   245,240
2017:    103,097
2…",False,3,2020-10-14 14:27:17.685736
4,4.0,,,,,16,,RT @facts_tesla: @BarkMSmeagol @ConsumerReports @nytclimate @AssaadRazzouk @latimes @business @lorakolodny @danahull @russ1mitchell Not tha…,False,3,2020-10-14 16:31:33.288613
5,,,,,,36,0.0,"RT @vincent13031925: Ron Baron on Tesla $TSLA: A $2 Trillion Company &amp; $700B Annual Sales in 10 Years

https://t.co/591oXwghvo",False,3,2020-10-14 16:52:50.256836
