,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,interest,change,most_active,event,id,created_at
0,0.0,0.0,0.0,0.0,0.0,5,,"RT @weeklystockchar: Daily set-ups of interest (to me) for tmra:
2x rev strat: $MLHR
2x inside: $XLNX
2x outside: $ROKU, $CMG, $TREE
3-1, o…",False,1,2020-10-14 09:39:18.168442
1,1.0,1.0,1.0,1.0,,5,,"RT @duckman1717: Still some setups out there. Here are some I see: 

$PENN $PYPL $CHGG $ZS $SHOP $YETI $TSLA $NFLX $AMZN $NVDA $AMD $CMG $T…",False,1,2020-10-14 10:11:48.738457
2,2.0,2.0,2.0,,,5,,"RT @duckman1717: Still some setups out there. Here are some I see: 

$PENN $PYPL $CHGG $ZS $SHOP $YETI $TSLA $NFLX $AMZN $NVDA $AMD $CMG $T…",False,1,2020-10-14 13:25:49.909224
3,3.0,3.0,,,,5,,RT @InvestorPlace: A protective hedged strategy using $DKNG options can beef up the odds of a winning bet. $WYNN $PENN @Options_CAT https:/…,False,1,2020-10-14 14:27:17.678788
4,4.0,,,,,5,,RT @LCOptionTrading: $PENN trigger above 69.50,False,1,2020-10-14 16:31:33.281630
5,,,,,,7,0.0,""" $GOLD is a #Currency"" (2014)

-Fed Chair Greenspan 1987-2006

$dxy $gdx $gld $slv $cgc $aapl $msft $tsla $amzn… https://t.co/2oeykz0r9l",False,1,2020-10-14 16:52:50.231903
