,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,interest,change,most_active,event,id,created_at
0,0.0,0.0,0.0,0.0,0.0,5,,"RT @9to5investing: Palantir Stock- Is Palantir Opening the Pandora’s Box of Artificial Intelligence &amp; Big Data? (PLTR)

👇🔥👇🔥👇🔥
https://t.co…",False,0,2020-10-14 09:39:18.166447
1,1.0,1.0,1.0,1.0,,6,,"RT @9to5investing: Palantir Stock- Is Palantir Opening the Pandora’s Box of Artificial Intelligence &amp; Big Data? (PLTR)

👇🔥👇🔥👇🔥
https://t.co…",False,0,2020-10-14 10:11:48.735434
2,2.0,2.0,2.0,,,5,,"RT @9to5investing: Palantir Stock- Is Palantir Opening the Pandora’s Box of Artificial Intelligence &amp; Big Data? (PLTR)

👇🔥👇🔥👇🔥
https://t.co…",False,0,2020-10-14 13:25:49.904201
3,3.0,3.0,,,,5,,"RT @9to5investing: Palantir Stock- Is Palantir Opening the Pandora’s Box of Artificial Intelligence &amp; Big Data? (PLTR)

👇🔥👇🔥👇🔥
https://t.co…",False,0,2020-10-14 14:27:17.674776
4,4.0,,,,,5,,$NKLA 📉,False,0,2020-10-14 16:31:33.278640
5,,,,,,5,0.0,"Everyone, Come join an amazing group of traders https://t.co/CmCIV7vIef

$EYEN $SAVE $GLD $NIO $AAL $CCL $OXY $JNUG… https://t.co/jCGfrPUkhz",False,0,2020-10-14 16:52:50.216943
